"diseaseId","diseaseName","diseaseType","diseaseClass","diseaseSemanticType","autism_subtype_broad","n_genes","is_autism"
"C3887523","Very long chain acyl-CoA dehydrogenase deficiency","disease","C05;C10;C16;C18","Disease or Syndrome","Not Autism",1,FALSE
"C0271713","Ketotic hypoglycemia","phenotype","","Disease or Syndrome","Not Autism",40,FALSE
"C1536500","Deficiency of acetyl-CoA acetyltransferase","disease","C16;C18","Disease or Syndrome","Not Autism",1,FALSE
"C0342735","Cytosolic acetoacetyl-CoA thiolase deficiency","disease","C16;C18","Disease or Syndrome","Not Autism",1,FALSE
"C0021368","Inflammation","phenotype","C23","Pathologic Function","Not Autism",124,FALSE
"C0007786","Brain Ischemia","disease","C10;C14","Disease or Syndrome","Not Autism",60,FALSE
"C0085742","Injuries, Acute Brain","group","C10;C26","Injury or Poisoning","Not Autism",69,FALSE
"C0270611","Brain Injuries","group","C10;C26","Injury or Poisoning","Not Autism",69,FALSE
"C0272945","Brain Lacerations","disease","C10;C26","Injury or Poisoning","Not Autism",69,FALSE
"C0452047","Brain Injuries, Focal","group","C10;C26","Injury or Poisoning","Not Autism",69,FALSE
"C0917798","Cerebral Ischemia","disease","C10;C14","Disease or Syndrome","Not Autism",60,FALSE
"C0002726","Amyloidosis","disease","C18","Disease or Syndrome","Not Autism",6,FALSE
"C0007134","Renal Cell Carcinoma","disease","C04;C12;C13","Neoplastic Process","Not Autism",124,FALSE
"C0018273","Growth Disorders","group","C23","Pathologic Function","Not Autism",36,FALSE
"C0023186","Learning Disorders","group","C10;C23;F03","Mental or Behavioral Dysfunction","Not Autism",28,FALSE
"C0025261","Memory Disorders","disease","C10;C23;F01","Mental or Behavioral Dysfunction","Not Autism",40,FALSE
"C0026650","Movement Disorders","group","C10","Disease or Syndrome","Not Autism",23,FALSE
"C0026850","Muscular Dystrophy","disease","C05;C10;C16","Disease or Syndrome","Not Autism",8,FALSE
"C0027765","nervous system disorder","group","C10","Disease or Syndrome","Not Autism",53,FALSE
"C0032343","Poisoning","group","C25","Injury or Poisoning","Not Autism",16,FALSE
"C0040822","Tremor","phenotype","C10;C23","Sign or Symptom","Not Autism",9,FALSE
"C0040827","Saturnine Tremor","phenotype","C10;C23","Sign or Symptom","Not Autism",9,FALSE
"C0086468","Prenatal Injuries","group","C13","Injury or Poisoning","Not Autism",11,FALSE
"C0149840","Senile Tremor","phenotype","C10;C23","Sign or Symptom","Not Autism",9,FALSE
"C0233794","Memory impairment","phenotype","C10;C23;F01","Mental or Behavioral Dysfunction","Not Autism",40,FALSE
"C0234370","Persistent Tremor","phenotype","C10;C23","Sign or Symptom","Not Autism",9,FALSE
"C0234371","Continuous Tremor","phenotype","C10;C23","Sign or Symptom","Not Autism",9,FALSE
"C0234372","Intermittent Tremor","phenotype","C10;C23","Sign or Symptom","Not Autism",9,FALSE
"C0234373","Fine Tremor","phenotype","C10;C23","Sign or Symptom","Not Autism",9,FALSE
"C0234374","Coarse Tremor","phenotype","C10;C23","Sign or Symptom","Not Autism",9,FALSE
"C0234375","Massive Tremor","phenotype","C10;C23","Sign or Symptom","Not Autism",9,FALSE
"C0234376","Action Tremor","phenotype","C10;C23","Sign or Symptom","Not Autism",9,FALSE
"C0234377","Passive Tremor","phenotype","C10;C23","Sign or Symptom","Not Autism",9,FALSE
"C0234378","Static Tremor","phenotype","C10;C23","Sign or Symptom","Not Autism",9,FALSE
"C0234379","Resting Tremor","phenotype","C10;C23","Sign or Symptom","Not Autism",9,FALSE
"C0234381","Darkness Tremor","phenotype","C10;C23","Sign or Symptom","Not Autism",9,FALSE
"C0235078","Tremor, Perioral","phenotype","C10;C23","Sign or Symptom","Not Autism",9,FALSE
"C0235081","Tremor, Limb","phenotype","C10;C23","Sign or Symptom","Not Autism",9,FALSE
"C0235082","Tremor, Muscle","phenotype","C10;C23","Sign or Symptom","Not Autism",9,FALSE
"C0235083","Nerve Tremors","phenotype","C10;C23","Sign or Symptom","Not Autism",9,FALSE
"C0235843","Tremor, Neonatal","phenotype","C10;C23","Sign or Symptom","Not Autism",9,FALSE
"C0236733","Amphetamine-Related Disorders","group","C25;F03","Mental or Behavioral Dysfunction","Not Autism",75,FALSE
"C0236804","Amphetamine Addiction","disease","C25;F03","Mental or Behavioral Dysfunction","Not Autism",75,FALSE
"C0236807","Amphetamine Abuse","disease","C25;F03","Mental or Behavioral Dysfunction","Not Autism",75,FALSE
"C0266487","Etat Marbre","disease","C10","Disease or Syndrome","Not Autism",23,FALSE
"C0279702","Conventional (Clear Cell) Renal Cell Carcinoma","disease","C04;C12;C13","Neoplastic Process","Not Autism",144,FALSE
"C0353676","Organophosphorus Poisoning","disease","C25","Injury or Poisoning","Not Autism",4,FALSE
"C0700359","Organophosphate poisoning","disease","C25","Injury or Poisoning","Not Autism",4,FALSE
"C0751262","Adult Learning Disorders","group","C10;C23;F03","Mental or Behavioral Dysfunction","Not Autism",28,FALSE
"C0751263","Learning Disturbance","disease","C10;C23;F03","Mental or Behavioral Dysfunction","Not Autism",28,FALSE
"C0751265","Learning Disabilities","disease","C10;C23;F03","Mental or Behavioral Dysfunction","Not Autism",28,FALSE
"C0751292","Age-Related Memory Disorders","disease","C10;C23;F01","Mental or Behavioral Dysfunction","Not Autism",40,FALSE
"C0751293","Memory Disorder, Semantic","disease","C10;C23;F01","Mental or Behavioral Dysfunction","Not Autism",40,FALSE
"C0751294","Memory Disorder, Spatial","disease","C10;C23;F01","Mental or Behavioral Dysfunction","Not Autism",40,FALSE
"C0751295","Memory Loss","phenotype","C10;C23;F01","Sign or Symptom","Not Autism",40,FALSE
"C0751564","Pill Rolling Tremor","phenotype","C10;C23","Sign or Symptom","Not Autism",9,FALSE
"C0751565","Tremor, Semirhythmic","phenotype","C10;C23","Finding","Not Autism",9,FALSE
"C1266042","Chromophobe Renal Cell Carcinoma","disease","C04;C12;C13","Neoplastic Process","Not Autism",124,FALSE
"C1266043","Sarcomatoid Renal Cell Carcinoma","disease","C04;C12;C13","Neoplastic Process","Not Autism",124,FALSE
"C1266044","Collecting Duct Carcinoma of the Kidney","disease","C04;C12;C13","Neoplastic Process","Not Autism",124,FALSE
"C1306837","Papillary Renal Cell Carcinoma","disease","C04;C12;C13","Neoplastic Process","Not Autism",124,FALSE
"C1330966","Developmental Academic Disorder","phenotype","C10;C23;F03","Finding","Not Autism",28,FALSE
"C1527384","Involuntary Quiver","phenotype","C10;C23","Sign or Symptom","Not Autism",9,FALSE
"C3494247","Organothiophosphonate Poisoning","disease","C25","Injury or Poisoning","Not Autism",4,FALSE
"C3494248","Organothiophosphate Poisoning","disease","C25","Injury or Poisoning","Not Autism",4,FALSE
"C0027626","Neoplasm Invasiveness","phenotype","C04;C23","Pathologic Function","Not Autism",174,FALSE
"C0029408","Degenerative polyarthritis","disease","C05","Disease or Syndrome","Not Autism",88,FALSE
"C0086743","Osteoarthrosis Deformans","disease","C05","Disease or Syndrome","Not Autism",88,FALSE
"C0035222","Respiratory Distress Syndrome, Adult","disease","C08","Disease or Syndrome","Not Autism",56,FALSE
"C3281192","INFANTILE CEREBELLAR-RETINAL DEGENERATION","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C4225384","OPTIC ATROPHY 9","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C0002152","Alloxan Diabetes","disease","C18;C19","Experimental Model of Disease","Not Autism",108,FALSE
"C0011853","Diabetes Mellitus, Experimental","disease","C18;C19","Experimental Model of Disease","Not Autism",108,FALSE
"C0023520","Leukodystrophy","disease","","Disease or Syndrome","Not Autism",146,FALSE
"C0038433","Streptozotocin Diabetes","disease","C18;C19","Experimental Model of Disease","Not Autism",108,FALSE
"C0282528","Peroxisomal Disorders","group","C16;C18","Disease or Syndrome","Not Autism",36,FALSE
"C1849678","Peroxisomal ACYL-COA oxidase deficiency","disease","C10;C16;C18;C19","Disease or Syndrome","Not Autism",1,FALSE
"C0041696","Unipolar Depression","disease","F03","Mental or Behavioral Dysfunction","Not Autism",273,FALSE
"C1269683","Major Depressive Disorder","disease","F03","Mental or Behavioral Dysfunction","Not Autism",260,FALSE
"C0268410","Acid Phosphatase Deficiency","disease","C16;C18","Disease or Syndrome","Not Autism",1,FALSE
"C0020503","Hyperparathyroidism, Secondary","disease","C19","Disease or Syndrome","Not Autism",5,FALSE
"C0029434","Osteogenesis Imperfecta","disease","C05;C16;C17","Congenital Abnormality; Disease or Syndrome","Not Autism",173,FALSE
"C0432222","Spondyloenchondrodysplasia","disease","C05;C16;C20","Disease or Syndrome","Not Autism",1,FALSE
"C1842763","SPONDYLOENCHONDRODYSPLASIA WITH IMMUNE DYSREGULATION","disease","C05;C16;C20","Disease or Syndrome","Not Autism",1,FALSE
"C0087031","Juvenile-Onset Still Disease","disease","C05;C17;C20","Disease or Syndrome","Not Autism",134,FALSE
"C3495559","Juvenile arthritis","disease","C05;C17;C20","Disease or Syndrome","Not Autism",130,FALSE
"C3714758","Juvenile psoriatic arthritis","disease","C05;C17;C20","Disease or Syndrome","Not Autism",130,FALSE
"C0149721","Left Ventricular Hypertrophy","disease","C14;C23","Disease or Syndrome","Not Autism",24,FALSE
"C0175709","Centronuclear myopathy","disease","C05;C10","Disease or Syndrome","Not Autism",15,FALSE
"C0206157","Myopathies, Nemaline","disease","C05;C10","Disease or Syndrome","Not Autism",7,FALSE
"C0270960","Congenital myopathy (disorder)","group","","Congenital Abnormality","Not Autism",90,FALSE
"C0270969","Zebra body myopathy","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C0410180","Eichsfeld type congenital muscular dystrophy","disease","C05;C10;C16","Disease or Syndrome","Not Autism",2,FALSE
"C0410203","X-linked centronuclear myopathy","disease","C05;C10","Congenital Abnormality","Not Autism",15,FALSE
"C0410207","Tubular Aggregate Myopathy","disease","C05;C10","Disease or Syndrome","Not Autism",16,FALSE
"C0546125","Nemaline Myopathy, Childhood Onset","disease","C05;C10","Disease or Syndrome","Not Autism",7,FALSE
"C0546264","Congenital Fiber Type Disproportion","disease","C05;C10","Congenital Abnormality","Not Autism",19,FALSE
"C0699743","Congenital muscular dystrophy (disorder)","disease","","Disease or Syndrome","Not Autism",45,FALSE
"C0751336","Distal Muscular Dystrophies","group","C05;C10;C16","Disease or Syndrome","Not Autism",27,FALSE
"C0752282","Congenital Structural Myopathy","disease","C05;C10","Disease or Syndrome","Not Autism",15,FALSE
"C0949658","Cardiomyopathy, Hypertrophic, Familial","disease","C14;C16","Disease or Syndrome","Not Autism",23,FALSE
"C1834339","Myopathy, Actin, Congenital, with Excess of Thin Myofilaments","disease","C05;C10","Disease or Syndrome","Not Autism",1,FALSE
"C1834558","Myopathy, Centronuclear, Autosomal Dominant","disease","C05;C10","Disease or Syndrome","Not Autism",15,FALSE
"C2750536","Nemaline Myopathy 3, With Intranuclear Rods","disease","C05;C10","Disease or Syndrome","Not Autism",1,FALSE
"C2750537","Myopathy, Actin, Congenital, With Cores","disease","C05;C10","Disease or Syndrome","Not Autism",1,FALSE
"C3645536","Autosomal Recessive Centronuclear Myopathy","disease","C05;C10","Disease or Syndrome","Not Autism",16,FALSE
"C3661489","Autosomal Dominant Myotubular Myopathy","disease","C05;C10","Disease or Syndrome","Not Autism",15,FALSE
"C3711389","Actin-Accumulation Myopathy","disease","C05;C10","Disease or Syndrome","Not Autism",1,FALSE
"C4225181","MYOPATHY, SCAPULOHUMEROPERONEAL","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C0005398","Cholestasis, Extrahepatic","disease","C06","Disease or Syndrome","Not Autism",25,FALSE
"C0007820","Cerebrovascular Disorders","group","C10;C14","Disease or Syndrome","Not Autism",89,FALSE
"C0013720","Ehlers-Danlos Syndrome","disease","C14;C15;C16;C17","Disease or Syndrome","Not Autism",72,FALSE
"C0014175","Endometriosis","disease","C13","Disease or Syndrome","Not Autism",155,FALSE
"C0015934","Fetal Growth Retardation","phenotype","C13;C16;C23","Pathologic Function","Not Autism",17,FALSE
"C0017668","Focal glomerulosclerosis","disease","C12;C13","Disease or Syndrome","Not Autism",28,FALSE
"C0019189","Hepatitis, Chronic","disease","C06","Disease or Syndrome","Not Autism",22,FALSE
"C0022116","Ischemia","phenotype","C23","Pathologic Function","Not Autism",28,FALSE
"C0022658","Kidney Diseases","group","C12;C13","Disease or Syndrome","Not Autism",88,FALSE
"C0023895","Liver diseases","group","C06","Disease or Syndrome","Not Autism",67,FALSE
"C0024796","Marfan Syndrome","disease","C05;C14;C16;C17","Disease or Syndrome","Not Autism",30,FALSE
"C0026654","Moyamoya Disease","disease","C10;C14","Disease or Syndrome","Not Autism",2,FALSE
"C0027051","Myocardial Infarction","disease","C14","Disease or Syndrome","Not Autism",86,FALSE
"C0036421","Systemic Scleroderma","disease","C17","Disease or Syndrome","Not Autism",13,FALSE
"C0086432","Hyalinosis, Segmental Glomerular","disease","C12;C13","Disease or Syndrome","Not Autism",28,FALSE
"C0086565","Liver Dysfunction","phenotype","C06","Finding","Not Autism",67,FALSE
"C0149519","Chronic Persistent Hepatitis","disease","C06","Disease or Syndrome","Not Autism",22,FALSE
"C0162872","Aortic Aneurysm, Thoracic","disease","C14","Disease or Syndrome","Not Autism",54,FALSE
"C0269102","Endometrioma","disease","C13","Neoplastic Process","Not Autism",155,FALSE
"C0340630","Aortic Aneurysm, Thoracoabdominal","disease","C14","Disease or Syndrome","Not Autism",6,FALSE
"C0345050","Congenital aneurysm of ascending aorta","disease","C14","Congenital Abnormality","Not Autism",55,FALSE
"C0520463","Chronic active hepatitis","disease","C06","Disease or Syndrome","Not Autism",22,FALSE
"C0524611","Cryptogenic Chronic Hepatitis","disease","C06","Disease or Syndrome","Not Autism",22,FALSE
"C1619692","Nephrogenic Fibrosing Dermopathy","disease","C17;C23","Disease or Syndrome","Not Autism",3,FALSE
"C1876165","Copper-Overload Cirrhosis","disease","C06;C10;C16;C18","Disease or Syndrome","Not Autism",13,FALSE
"C1968949","Cakut","disease","C12;C13;C16","Disease or Syndrome","Not Autism",61,FALSE
"C2673186","Aortic Aneurysm, Familial Thoracic 6","disease","C14;C17;C23","Disease or Syndrome","Not Autism",1,FALSE
"C2931384","Moyamoya disease 1","disease","C10;C14","Disease or Syndrome","Not Autism",2,FALSE
"C3151201","MULTISYSTEMIC SMOOTH MUSCLE DYSFUNCTION SYNDROME","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C3279690","MOYAMOYA DISEASE 5","disease","","Disease or Syndrome","Not Autism",1,FALSE
"C0007097","Carcinoma","group","C04","Neoplastic Process","Not Autism",164,FALSE
"C0009363","Congenital ocular coloboma (disorder)","disease","C11;C16","Congenital Abnormality","Not Autism",62,FALSE
"C0010278","Craniosynostosis","disease","C05;C16","Disease or Syndrome","Not Autism",71,FALSE
"C0013393","Dysostoses","disease","C05","Disease or Syndrome","Not Autism",1,FALSE
"C0013421","Dystonia","phenotype","C10;C23","Sign or Symptom","Not Autism",18,FALSE
"C0018784","Sensorineural Hearing Loss (disorder)","disease","C09;C10;C23","Disease or Syndrome","Not Autism",11,FALSE
"C0024667","Animal Mammary Neoplasms","group","C04;C22","Neoplastic Process","Not Autism",143,FALSE
"C0024668","Mammary Neoplasms, Experimental","group","C04","Experimental Model of Disease; Neoplastic Process","Not Autism",155,FALSE
"C0151744","Myocardial Ischemia","disease","C14","Disease or Syndrome","Not Autism",171,FALSE
"C0205696","Anaplastic carcinoma","disease","C04","Neoplastic Process","Not Autism",164,FALSE
"C0205697","Carcinoma, Spindle-Cell","disease","C04","Neoplastic Process","Not Autism",164,FALSE
"C0205698","Undifferentiated carcinoma","phenotype","C04","Neoplastic Process","Not Autism",164,FALSE
"C0205699","Carcinomatosis","phenotype","C04","Neoplastic Process","Not Autism",164,FALSE
"C0263579","Pigmented hairy epidermal nevus","disease","","Neoplastic Process","Not Autism",1,FALSE
"C0265541","Cranioschisis","disease","C10;C16","Congenital Abnormality","Not Autism",10,FALSE
"C0376634","Craniofacial Abnormalities","group","C05;C16","Congenital Abnormality","Not Autism",154,FALSE
"C0393588","Dystonia, Paroxysmal","phenotype","C10;C23","Sign or Symptom","Not Autism",18,FALSE
"C0393610","Dystonia, Diurnal","phenotype","C10;C23","Sign or Symptom","Not Autism",18,FALSE
"C0497552","Congenital neurologic anomalies","group","C10;C16","Congenital Abnormality","Not Autism",10,FALSE
"C0751093","Dystonia, Limb","phenotype","C10;C23","Sign or Symptom","Not Autism",18,FALSE
"C1257925","Mammary Carcinoma, Animal","disease","C04;C22","Neoplastic Process","Not Autism",143,FALSE
"C1691779","Sensory hearing loss","disease","C09;C10;C23","Disease or Syndrome","Not Autism",11,FALSE
"C1846331","Juvenile-onset dystonia","disease","C10","Disease or Syndrome","Not Autism",1,FALSE
"C1855722","Iris Coloboma with Ptosis, Hypertelorism, and Mental Retardation","disease","C10;C11;C16;C23;F01;F03","Disease or Syndrome","Not Autism",2,FALSE
"C1858042","Becker Nevus Syndrome","disease","C04;C17","Disease or Syndrome","Not Autism",1,FALSE
"C1955869","Malformations of Cortical Development","group","C10;C16","Disease or Syndrome","Not Autism",72,FALSE
"C0007193","Cardiomyopathy, Dilated","group","C14","Disease or Syndrome","Not Autism",101,FALSE
"C0024623","Malignant neoplasm of stomach","disease","C04;C06","Neoplastic Process","Not Autism",295,FALSE
"C0034951","Refractive Errors","group","C11","Disease or Syndrome","Not Autism",3,FALSE
"C0038356","Stomach Neoplasms","group","C04;C06","Neoplastic Process","Not Autism",292,FALSE
"C0264886","Conduction disorder of the heart","group","C14","Disease or Syndrome","Not Autism",77,FALSE
"C0340427","Familial dilated cardiomyopathy","disease","C14","Disease or Syndrome","Not Autism",42,FALSE
